rank,tag,rating,character,id
110,CaptainMilkMan,46.66332002783894,"[""captain""]",1101654
111,Sacred,46.300759331641935,"[""link""]",1007555
112,Boo,46.1092961357678,"[""gamewatch""]",2647915
113,Ozair,45.539643904640435,"[""marth""]",540851
114,CHEESE,43.71244939597438,"[""diddy""]",3429754
115,Jeni,43.58477636998416,"[""demon""]",1499467
116,Dingo,43.07780239710961,"[""gekkouga""]",35890
117,Dom,42.6390399657991,"[""paisy""]",36310
118,2ndWonder,41.87682763219674,"[""wolf""]",3255312
119,Phantomtheif,40.020619384152575,"[""marth""]",469237
120,Whaley,39.42035063313385,"[""edge""]",2016149
121,Omar,39.22864270361084,"[""palutena""]",4300029
122,Burlum,38.810160602497845,"[""gaogaen""]",397537
123,SweatOnly,38.3774290785451,"[""luigi""]",1406711
124,Captain C,38.32134270561739,"[""captain""]",802498
125,ThatSoopGuy,38.2373667968363,"[""ness""]",2253726
126,Arc,37.85713250745874,"[""jack""]",2285547
127,Bamba,37.10796953598415,"[""sonic""]",1275216
128,Cromat,36.285078511755195,"[""eflame_first""]",3055798
129,Monologgue,35.845534845043474,"[""snake""]",1135679
130,Baconator_37,35.67121185812381,"[""donkey""]",2644817
131,Pacil,35.42858299341667,"[""reflet""]",2249009
132,Sid,34.64293335235609,"[""cloud""]",1229067
133,PhaZe,34.424076413184885,"[""toonlink""]",36212
134,EdgyKnight,34.30680361390564,"[""metaknight""]",367828
135,Nyramyss,33.293501358130456,"[""rosetta""]",2648735
136,Guapo,33.28538699740545,"[""kirby""]",342873
137,Dampé,33.075106365471456,"[""fox""]",1170738
138,Hue,33.03482034220534,"[""ness""]",35934
139,Garvspark,32.994583387977826,"[""roy""]",1779068
140,Happy,32.62669528522294,"[""kamui""]",1383907
141,Plaid,32.207907068144216,"[""gamewatch"", ""pickel""]",1452882
142,Mentayy,32.168677307877914,"[""roy""]",2586911
143,MORTAL MAN,32.09036107662413,"[""mariod""]",151596
144,Olive,32.02784539252162,"[""donkey""]",1810274
145,Scouteka,31.655300541461163,"[""mario""]",2055957
146,Bany05,31.401692727987836,"[""eflame_first""]",2637493
147,tired&true,30.667942133233392,"[""reflet""]",2635568
148,Heart,30.400006288991683,"[""paisy"", ""bayonetta""]",4287822
149,promamamia,30.385189790471355,"[""roy""]",3548468
150,Kazvto,28.911225686375605,"[""dolly""]",2057044
151,KageGato,28.270102272341717,"[""mario""]",1392649
152,Xcel,27.94126713181202,"[""jack""]",2302299
153,Kirbyfan,27.852867733354167,"[""littlemac""]",2195459
154,Ace_CMH,27.268427421538565,"[""ridley""]",1990149
155,BurnBlue,26.846337757278736,"[""kamui""]",2778197
156,tape,26.508205418794915,"[""diddy""]",2493488
157,Kitsch,26.501744784371795,"[""cloud""]",4575825
158,ImNoPro,26.219030291180744,"[""cloud""]",2149803
159,Tiller Wail,26.199864494870926,"[""inkling""]",981821
160,RussianJesus,26.00897539263924,"[""samusBoth""]",1140567
161,Yeezus,25.933009743558294,"[""cloud""]",3988141
162,colorfulʚɞ,25.933009743558294,"[""cloud""]",1783074
163,Jdaddy,25.756618295531666,"[""ryu""]",4384721
164,RoKu,25.56272691322386,"[""wolf""]",1107285
165,Sunset,25.02634092126616,"[""captain""]",544889
166,Bagel,24.662991523606674,"[""paisy""]",1794753
167,Tsuperion,24.650971158415217,"[""krool""]",1862006
168,KingSAF,24.543051163744426,"[""ganon""]",1032497
169,Retro18,24.086701421807767,"[""buddy""]",867830
170,pibble12,23.975406995174488,"[""roy""]",547843
171,lil munch,23.62731576930394,"[""fox""]",2241471
172,Bumble,23.56979390391963,"[""dedede""]",1169889
173,SaggyMilkJug,23.187993071321483,"[""littlemac""]",4651404
174,Juniper,23.002221458951215,"[""robot""]",46895
175,Alex828,22.45926274425422,"[""cloud""]",1630146
176,S0URCEC0DE,22.360937875019104,"[""gaogaen""]",2699776
177,lawl,22.090065962160633,"[""wiifit""]",2116990
178,OGS Shadow,22.02554645788476,"[""sonic""]",2152632
179,Yusei,21.91309044045274,"[""wolf""]",7817
180,Prince Peach,21.790583014731805,"[""paisy""]",3003562
181,Vitamin C,21.421932516384484,"[""samusBoth""]",4943785
182,Nikol,21.224426548126697,"[""sora""]",2152846
183,Jovial_J,21.141811889768928,"[""pitBoth""]",140065
184,Cam,21.008248366389825,"[""edge""]",3263394
185,V2Kwame,20.93667938471814,"[""ice_climber""]",2764337
186,ALLEYCAT,20.824706127473558,"[""edge""]",1940654
187,Mickey.Deeez,20.622650402205167,"[""zelda""]",4023323
188,DeDeDeadly,20.56241684821379,"[""dedede""]",2267772
189,Bragmuffin,20.54237811717798,"[""falco""]",2354073
190,zors3y,20.422555161558446,"[""chrom""]",994539
191,Goofygoober_67,20.175164081050635,"[""wolf""]",1340702
192,Boxboy,19.9210558495407,"[""mewtwo""]",1174039
193,BigCheese,19.718152952632398,"[""yoshi""]",3991446
